EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
7.71,0.99,13.46,8.65,463.0,2.66,"
											
											
												
				33.19
			
											
										",화학,54,11.63,KOSDAQ,화학,씨큐브,"""101240""",,"
															7,150"
5.38,1.22,9.8,15.43,287.0,1.69,"
											
											
												
				11.09
			
											
										",통신장비,74,25.75,KOSDAQ,통신장비,옵티시스,"""109080""",,"
															12,860"
67.58,7.8,79.27,12.84,799.0,0.32,"
											
											
												
				7.47
			
											
										",화학,192,24.00,KOSDAQ,화학,나노신소재,"""121600""",,"
															129,300"
7.80,0.64,15.19,4.53,372.0,2.93,"
											
											
												
				20.12
			
											
										",컴퓨터와주변기기,26,7.05,KOSDAQ,정보기기,딜리,"""131180""",,"
															1,355"
18.46,2.37,49.6,4.97,486.0,0.47,"
											
											
												
				11.92
			
											
										",소프트웨어,42,8.67,KOSDAQ,디지털컨텐츠,알서포트,"""131370""",,"
															3,910"
7.10,0.92,9.79,9.76,966.0,2.49,"
											
											
												
				18.53
			
											
										",화학,137,14.22,KOSDAQ,화학,대정화금,"""120240""",,"
															18,720"
3.76,0.69,18.42,3.99,587.0,1.59,"
											
											
												
				9.46
			
											
										",제약,50,8.54,KOSDAQ,제약,옵투스제약,"""131030""",,"
															5,680"
7.72,0.79,20.66,4.13,425.0,1.35,"
											
											
												
				5.88
			
											
										",방송과엔터테인먼트,49,11.60,KOSDAQ,방송서비스,티비씨,"""033830""",,"
															1,018"
12.19,1.98,26.6,7.69,385.0,1.48,"
											
											
												
				46.66
			
											
										",IT서비스,35,9.07,KOSDAQ,소프트웨어,한국전자인증,"""041460""",,"
															4,900"
11.75,0.96,26.86,3.62,696.0,1.76,"
											
											
												
				39.19
			
											
										",기계,17,2.48,KOSDAQ,금속,포메탈,"""119500""",,"
															3,915"
10.25,0.69,19.19,3.58,660.0,2.25,"
											
											
												
				7.46
			
											
										",방송과엔터테인먼트,74,11.19,KOSDAQ,방송서비스,KNN,"""058400""",,"
															1,071"
8.14,1.19,18.51,7.88,236.0,4.04,"
											
											
												
				21.79
			
											
										",소프트웨어,43,18.29,KOSDAQ,소프트웨어,인지소프트,"""100030""",,"
															21,050"
110.99,5.95,131.29,4.27,417.0,2.67,"
											
											
												
				113.57
			
											
										",IT서비스,8,1.99,KOSDAQ,컴퓨터서비스,케이씨에스,"""115500""",,"
															9,070"
5.62,0.84,13.51,8.02,670.0,1.5,"
											
											
												
				6.81
			
											
										",철강,105,15.71,KOSPI,기계,조선선재,"""120030""",,"
															113,000"
1.21,0.52,13.12,6.08,209.0,4.23,"
											
											
												
				8.02
			
											
										",IT서비스,60,28.75,KOSDAQ,통신서비스,인포바인,"""115310""",,"
															24,700"
8.67,1.03,19.75,5.41,732.0,4.55,"
											
											
												
				101.95
			
											
										","섬유,의류,신발,호화품",16,2.19,KOSDAQ,"섬유,의류",에스티오,"""098660""",,"
															2,530"
7.03,4.16,12.3,28.58,471.0,6.48,"
											
											
												
				22.31
			
											
										",상업서비스와공급품,157,33.23,KOSDAQ,기타서비스,이크레더블,"""092130""",4.00,"
															15,990"
4.30,1.0,12.02,8.78,601.0,2.05,"
											
											
												
				5.96
			
											
										",건강관리장비와용품,106,17.70,KOSDAQ,제약,세운메디칼,"""100700""",,"
															2,855"
5.02,1.39,9.69,15.55,611.0,1.54,"
											
											
												
				16.96
			
											
										",반도체와반도체장비,70,11.54,KOSDAQ,반도체,마이크로컨텍솔,"""098120""",,"
															8,220"
